subj_idx,response,rt
AL8,0,0.44279700000000005
AL8,0,0.46487600000000007
AL8,1,0.6415080000000001
AL8,1,0.996218
AL8,1,1.2053099999999999
AL8,0,0.680278
AL8,0,1.4248779999999999
AL8,0,1.1253920000000002
AL8,0,1.331711
AL8,0,1.009939
AL8,0,0.541924
AL8,0,0.5888220000000001
AL8,0,1.024823
AL8,0,1.507111
AL8,0,2.5788860000000002
AL8,0,0.5037320000000001
AL8,1,2.991382
AL8,0,1.494247
AL8,0,1.330923
AL8,0,1.667658
AL8,0,1.613704
AL8,1,0.7477659999999999
AL8,0,0.604902
AL8,1,0.477038
AL8,1,0.493455
AL8,1,0.736212
AL8,1,0.37510899999999997
AL8,1,0.637449
AL8,1,1.002315
AL8,0,0.459075
AL8,0,0.423236
AL8,1,0.445051
AL8,0,0.41696300000000003
AL8,0,1.535892
AL8,0,0.8579300000000001
AL8,1,1.388484
AL8,1,1.331961
AL8,0,0.7207520000000001
AL8,1,1.314847
AL8,0,1.8832630000000001
AL8,0,0.765691
AL8,0,0.939911
AL8,1,1.38858
AL8,0,1.22337
AL8,0,1.190521
AL8,0,0.7218600000000001
AL8,1,0.7067530000000001
AL8,0,0.889784
AL8,0,1.290901
AL8,0,1.221081
AL8,0,3.0062870000000004
AL8,1,0.8366480000000001
AL8,1,1.6082100000000001
AL8,1,1.08366
AL8,0,1.068479
AL8,1,0.8845900000000001
AL8,1,0.437331
AL8,1,0.39574400000000004
AL8,1,1.1003640000000001
AL8,1,0.5856950000000001
AL8,1,1.44652
AL8,0,0.5100760000000001
AL8,1,0.826266
AL8,1,1.958462
AL8,0,1.6049080000000002
AL8,0,0.490634
AL8,0,0.736679
AL8,1,0.5431050000000001
AL8,1,2.315351
AL8,0,1.505761
AL8,0,0.393279
AL8,0,1.0948579999999999
AL8,1,1.073293
AL8,0,1.579341
AL8,0,1.7330450000000002
AL8,1,0.358136
AL8,0,1.6544660000000002
AL8,0,3.434218
AL8,0,1.552701
AL8,1,2.093697
AL8,0,0.723583
AL8,1,1.469932
AL8,1,1.5622770000000001
AL8,0,0.7506710000000001
AL8,1,0.365225
AL8,1,2.071949
AL8,1,1.8884990000000001
AL8,1,1.740472
AL8,0,2.0237950000000002
AL8,0,0.410503
AL8,0,0.9519350000000001
AL8,0,0.49617300000000003
AL8,0,0.45666
AL8,0,0.9812930000000001
AL8,1,0.507632
AL8,1,1.020365
AL8,0,1.487558
AL8,1,0.37634000000000006
AL8,1,2.386428
AL8,0,1.5652300000000001
AL8,0,0.68623
AL8,1,1.086788
AL8,0,1.9789370000000002
AL8,0,1.4528130000000001
AL8,0,0.557468
AL8,0,0.626893
AL8,1,0.860388
AL8,1,1.934438
AL8,1,1.726447
AL8,0,1.2165350000000001
AL8,1,0.613336
AL8,1,1.789579
AL8,0,0.39851300000000006
AL8,1,1.073094
AL8,0,0.533262
AL8,0,2.862101
AL8,1,1.1624590000000001
AL8,1,2.477427
AL8,0,0.388741
AL8,1,0.467707
AL8,0,2.793911
AL8,1,0.5230180000000001
AL8,1,0.894225
AL8,1,2.109187
AL8,0,0.412748
AL8,0,0.583913
AL8,0,0.412801
AL8,0,0.8170080000000001
AL8,1,1.196041
AL8,0,1.485468
AL8,1,1.990596
AL8,0,1.8180420000000002
AL8,0,1.301838
AL8,1,0.844299
AL8,1,1.220188
AL8,0,1.036515
AL8,0,0.6327330000000001
AL8,1,0.9584060000000001
AL8,1,0.461193
AL8,0,2.483394
AL8,0,0.6589
AL8,1,1.2277350000000002
AL8,1,1.57454
AL8,0,0.8228110000000001
AL8,1,0.6762290000000001
AL8,0,1.006032
AL8,0,3.164788
AL8,1,0.692662
AL8,1,2.209185
AL8,0,1.107452
AL8,0,0.9040790000000001
AL8,1,1.579557
AL8,0,0.449958
AL8,0,1.023377
AL8,0,0.7006140000000001
AL8,0,0.770614
AL8,0,0.6066699999999999
AL8,0,0.8471190000000001
AL8,1,2.334372
AL8,1,2.134966
AL8,0,1.201417
AL8,1,0.580123
AL8,1,0.793165
AL8,1,1.326086
AL8,1,0.45324000000000003
AL8,1,2.0025150000000003
