subj_idx,response,rt,phase
AL8,0,0.44279700000000005,0
AL8,0,0.46487600000000007,0
AL8,1,0.6415080000000001,0
AL8,1,0.996218,0
AL8,1,1.2053099999999999,0
AL8,0,0.680278,0
AL8,0,1.4248779999999999,0
AL8,0,1.1253920000000002,0
AL8,0,1.331711,0
AL8,0,1.009939,0
AL8,0,0.541924,0
AL8,0,0.5888220000000001,0
AL8,0,1.024823,0
AL8,0,1.507111,0
AL8,0,2.5788860000000002,0
AL8,0,0.5037320000000001,0
AL8,1,2.991382,0
AL8,0,1.494247,0
AL8,0,1.330923,0
AL8,0,1.667658,0
AL8,0,1.613704,0
AL8,1,0.7477659999999999,0
AL8,0,0.604902,0
AL8,1,0.477038,0
AL8,1,0.493455,0
AL8,1,0.736212,0
AL8,1,0.37510899999999997,0
AL8,1,0.637449,0
AL8,1,1.002315,0
AL8,0,0.459075,0
AL8,0,0.423236,0
AL8,1,0.445051,0
AL8,0,0.41696300000000003,0
AL8,0,1.535892,0
AL8,0,0.8579300000000001,0
AL8,1,1.388484,0
AL8,1,1.331961,0
AL8,0,0.7207520000000001,0
AL8,1,1.314847,0
AL8,0,1.8832630000000001,0
AL8,0,0.765691,0
AL8,0,0.939911,0
AL8,1,1.38858,0
AL8,0,1.22337,0
AL8,0,1.190521,0
AL8,0,0.7218600000000001,0
AL8,1,0.7067530000000001,0
AL8,0,0.889784,0
AL8,0,1.290901,0
AL8,0,1.221081,0
AL8,0,3.0062870000000004,0
AL8,1,0.8366480000000001,0
AL8,1,1.6082100000000001,0
AL8,1,1.08366,0
AL8,0,1.068479,0
AL8,1,0.8845900000000001,0
AL8,1,0.437331,0
AL8,1,0.39574400000000004,0
AL8,1,1.1003640000000001,0
AL8,1,0.5856950000000001,0
AL8,1,1.44652,0
AL8,0,0.5100760000000001,0
AL8,1,0.826266,0
AL8,1,1.958462,0
AL8,0,1.6049080000000002,0
AL8,0,0.490634,0
AL8,0,0.736679,0
AL8,1,0.5431050000000001,0
AL8,1,2.315351,0
AL8,0,1.505761,0
AL8,0,0.393279,0
AL8,0,1.0948579999999999,0
AL8,1,1.073293,0
AL8,0,1.579341,0
AL8,0,1.7330450000000002,0
AL8,1,0.358136,0
AL8,0,1.6544660000000002,0
AL8,0,3.434218,0
AL8,0,1.552701,0
AL8,1,2.093697,0
AL8,0,0.723583,0
AL8,1,1.469932,0
AL8,1,1.5622770000000001,0
AL8,0,0.7506710000000001,0
AL8,1,0.365225,0
AL8,1,2.071949,0
AL8,1,1.8884990000000001,0
AL8,1,1.740472,0
AL8,0,2.0237950000000002,0
AL8,0,0.410503,0
AL8,0,0.9519350000000001,0
AL8,0,0.49617300000000003,0
AL8,0,0.45666,0
AL8,0,0.9812930000000001,0
AL8,1,0.507632,0
AL8,1,1.020365,0
AL8,0,1.487558,0
AL8,1,0.37634000000000006,0
AL8,1,2.386428,0
AL8,0,1.5652300000000001,0
AL8,0,0.68623,0
AL8,1,1.086788,0
AL8,0,1.9789370000000002,0
AL8,0,1.4528130000000001,0
AL8,0,0.557468,0
AL8,0,0.626893,0
AL8,1,0.860388,0
AL8,1,1.934438,0
AL8,1,1.726447,0
AL8,0,1.2165350000000001,0
AL8,1,0.613336,0
AL8,1,1.789579,0
AL8,0,0.39851300000000006,0
AL8,1,1.073094,0
AL8,0,0.533262,0
AL8,0,2.862101,0
AL8,1,1.1624590000000001,0
AL8,1,2.477427,0
AL8,0,0.388741,0
AL8,1,0.467707,0
AL8,0,2.793911,0
AL8,1,0.5230180000000001,0
AL8,1,0.894225,0
AL8,1,2.109187,0
AL8,0,0.412748,0
AL8,0,0.583913,0
AL8,0,0.412801,0
AL8,0,0.8170080000000001,0
AL8,1,1.196041,0
AL8,0,1.485468,0
AL8,1,1.990596,0
AL8,0,1.8180420000000002,0
AL8,0,1.301838,0
AL8,1,0.844299,0
AL8,1,1.220188,0
AL8,0,1.036515,0
AL8,0,0.6327330000000001,0
AL8,1,0.9584060000000001,0
AL8,1,0.461193,0
AL8,0,2.483394,0
AL8,0,0.6589,0
AL8,1,1.2277350000000002,0
AL8,1,1.57454,0
AL8,0,0.8228110000000001,0
AL8,1,0.6762290000000001,0
AL8,0,1.006032,0
AL8,0,3.164788,0
AL8,1,0.692662,0
AL8,1,2.209185,0
AL8,0,1.107452,0
AL8,0,0.9040790000000001,0
AL8,1,1.579557,0
AL8,0,0.449958,0
AL8,0,1.023377,0
AL8,0,0.7006140000000001,0
AL8,0,0.770614,0
AL8,0,0.6066699999999999,0
AL8,0,0.8471190000000001,0
AL8,1,2.334372,0
AL8,1,2.134966,0
AL8,0,1.201417,0
AL8,1,0.580123,0
AL8,1,0.793165,0
AL8,1,1.326086,0
AL8,1,0.45324000000000003,0
AL8,1,2.0025150000000003,0
AL8,1,1.8709980000000002,0
AL8,1,1.0510810000000002,0
AL8,0,1.25153,0
AL8,0,1.888065,0
AL8,1,0.843769,0
AL8,1,1.495222,0
AL8,0,1.2451610000000002,0
AL8,0,1.334935,0
AL8,1,0.621282,0
AL8,0,0.767576,0
AL8,1,1.1450740000000001,0
AL8,1,2.195067,0
AL8,1,0.841476,0
AL8,0,1.5311949999999999,0
AL8,0,0.444738,0
AL8,0,0.48474500000000004,0
AL8,1,0.41314,0
