subj_idx,response,rt
AL8,1,1.0439990000000001
AL8,0,2.646056
AL8,1,2.958259
AL8,1,1.2341959999999998
AL8,1,1.9305820000000002
AL8,1,0.894511
AL8,1,0.76383
AL8,1,1.429805
AL8,1,1.964233
AL8,1,0.7113700000000001
AL8,1,0.8197470000000001
AL8,0,2.190802
AL8,1,0.8164880000000001
AL8,1,0.9698680000000001
AL8,1,2.6125030000000002
AL8,1,0.662307
AL8,1,0.6522709999999999
AL8,1,0.84386
AL8,1,2.504411
AL8,1,0.584126
AL8,1,1.054196
AL8,1,0.7829280000000001
AL8,1,2.564423
AL8,1,0.842665
AL8,0,0.791867
AL8,1,0.8504470000000001
AL8,1,1.094718
AL8,1,1.223608
AL8,0,0.648385
AL8,1,0.8557640000000001
AL8,1,0.565292
AL8,0,2.060261
AL8,1,1.4534760000000002
AL8,1,0.804467
AL8,1,2.4304650000000003
AL8,1,3.444205
AL8,1,0.980481
AL8,0,2.423039
AL8,1,0.777635
AL8,1,1.067607
AL8,1,0.594851
AL8,1,1.0146060000000001
AL8,0,0.857709
AL8,1,1.225491
AL8,1,1.1938
AL8,1,1.136798
AL8,0,0.819366
AL8,1,2.236669
AL8,0,1.1680540000000001
AL8,1,0.764398
AL8,1,1.043337
AL8,1,0.6010700000000001
AL8,1,0.914425
AL8,1,1.6076840000000001
AL8,1,0.48976200000000003
AL8,1,1.215174
AL8,1,0.44598000000000004
AL8,1,0.54901
AL8,1,0.6239370000000001
AL8,1,1.304087
AL8,1,0.7256710000000001
AL8,0,0.850414
AL8,0,0.490979
AL8,1,0.624765
AL8,1,0.8167730000000001
AL8,1,0.818352
AL8,1,1.194424
AL8,1,0.708539
AL8,1,1.425566
AL8,1,0.662517
AL8,1,0.7562770000000001
AL8,1,0.6139830000000001
AL8,0,2.2621860000000003
AL8,1,0.702977
AL8,1,0.8371770000000001
AL8,1,2.3761129999999997
AL8,1,0.5942820000000001
AL8,1,0.740047
AL8,1,0.7038840000000001
AL8,1,0.717913
AL8,1,1.4878700000000002
AL8,1,0.9341900000000001
AL8,1,1.089779
AL8,1,1.8721510000000001
AL8,1,0.605859
AL8,0,1.359752
AL8,0,1.192323
AL8,1,1.031209
AL8,0,2.0076300000000002
AL8,1,2.167943
AL8,1,1.5173120000000002
AL8,1,1.1943510000000002
AL8,1,1.472259
AL8,1,1.5005870000000001
AL8,1,1.489715
AL8,0,1.088069
AL8,1,0.990549
AL8,1,1.2085620000000001
AL8,1,0.997685
AL8,1,0.528702
AL8,1,1.93221
AL8,1,1.4329610000000002
AL8,1,0.7399110000000001
AL8,1,0.736005
AL8,1,0.8921
AL8,1,0.977919
AL8,1,0.546837
AL8,1,1.013479
AL8,1,0.846902
AL8,1,0.454142
AL8,1,1.540636
AL8,1,0.76885
