subj_idx,response,rt
AL13,1,1.481531
AL13,1,1.409108
AL13,1,0.6669320000000001
AL13,1,2.5894920000000003
AL13,1,1.167518
AL13,1,1.8110620000000002
AL13,1,1.715471
AL13,0,1.6465640000000001
AL13,1,1.025487
AL13,1,0.761672
AL13,1,1.500721
AL13,1,3.178643
AL13,1,2.390803
AL13,1,1.258211
AL13,1,1.3854570000000002
AL13,1,1.475951
AL13,0,1.578791
AL13,1,1.0942239999999999
AL13,1,0.780348
AL13,1,2.246534
AL13,1,1.519721
AL13,1,2.016643
AL13,1,1.602286
AL13,1,1.771641
AL13,1,1.4792830000000001
AL13,1,1.563641
AL13,1,2.446848
AL13,1,2.157294
AL13,1,1.827645
AL13,1,0.668568
AL13,0,1.3797160000000002
AL13,1,0.42248800000000003
AL13,1,0.830308
AL13,1,1.870961
AL13,1,1.038695
AL13,1,1.475695
AL13,1,1.0341490000000002
AL13,0,0.610567
AL13,1,1.7248530000000002
AL13,1,0.770162
AL13,1,0.9176730000000001
AL13,1,1.629597
AL13,1,2.054412
AL13,1,0.9933770000000001
AL13,1,1.348376
AL13,1,1.168099
AL13,1,1.417264
AL13,1,1.410824
AL13,1,1.354787
AL13,0,0.7386050000000001
AL13,1,1.33657
AL13,1,0.845677
AL13,0,1.2012450000000001
AL13,0,1.068157
AL13,1,1.659559
AL13,1,0.7631380000000001
AL13,1,1.482701
AL13,1,0.761689
AL13,1,1.37277
AL13,1,1.1267770000000001
AL13,1,1.870865
AL13,1,1.262218
AL13,1,1.429707
AL13,1,1.571513
AL13,1,0.951491
AL13,1,0.674997
AL13,1,1.3874410000000001
AL13,0,1.078239
AL13,1,0.947215
AL13,1,1.1387280000000002
AL13,1,1.483392
AL13,0,1.450532
AL13,1,1.079279
AL13,1,1.2056959999999999
AL13,1,0.879614
AL13,0,0.7495790000000001
AL13,1,0.5854590000000001
AL13,1,1.072276
AL13,1,0.815682
AL13,1,1.481278
AL13,1,0.615621
AL13,1,1.311656
AL13,1,1.22958
AL13,0,1.616732
AL13,1,1.25084
AL13,1,0.9702970000000001
AL13,1,0.8296359999999999
AL13,0,0.38066200000000006
AL13,1,0.525626
AL13,1,0.8872920000000001
AL13,1,0.454066
AL13,0,1.214162
AL13,1,0.6103270000000001
AL13,1,1.089391
AL13,0,0.8471940000000001
AL13,1,1.102115
AL13,1,0.684129
AL13,1,1.8712460000000002
AL13,1,1.399242
AL13,0,0.42508500000000005
AL13,1,1.610554
AL13,0,1.699541
AL13,0,0.762653
AL13,1,0.7506430000000001
AL13,0,0.842831
AL13,1,1.308619
AL13,1,1.7706220000000001
AL13,1,1.365125
AL13,1,1.491317
AL13,1,1.537914
AL13,0,1.599185
AL13,1,0.865779
AL13,1,0.9058830000000001
AL13,1,1.4635420000000001
AL13,1,0.8259310000000001
AL13,1,1.071222
AL13,1,1.618609
AL13,1,1.683343
AL13,1,1.150503
AL13,1,1.7629270000000001
AL13,0,2.206772
AL13,1,1.010112
AL13,1,1.5714890000000001
AL13,1,1.616384
AL13,1,1.1616250000000001
AL13,1,0.8938210000000001
AL13,1,2.044267
AL13,1,1.459405
AL13,1,0.602504
AL13,1,0.7482810000000001
AL13,1,1.2722360000000001
AL13,1,1.1644470000000002
AL13,1,1.9048930000000002
AL13,1,1.942849
AL13,1,1.323757
AL13,1,1.167564
AL13,1,1.2529700000000001
AL13,1,1.567242
AL13,1,2.011315
AL13,1,1.433147
AL13,1,2.529697
AL13,1,1.3825180000000001
AL13,1,1.45733
AL13,1,1.4926130000000002
AL13,1,1.354752
AL13,1,0.869762
AL13,1,0.8694
AL13,1,1.4955550000000002
AL13,1,0.877327
AL13,1,0.867929
AL13,0,1.4677730000000002
AL13,1,0.692235
AL13,1,1.462712
AL13,1,1.0960180000000002
AL13,0,0.918288
AL13,1,1.092983
AL13,0,1.496196
AL13,1,1.094811
AL13,1,1.5164549999999999
AL13,1,0.426615
AL13,1,1.058964
AL13,1,0.8167230000000001
AL13,1,0.8494450000000001
AL13,1,0.839048
AL13,1,2.915017
AL13,1,0.648494
AL13,1,0.744476
AL13,0,0.9824830000000001
AL13,1,0.978109
AL13,1,0.792953
AL13,1,0.998942
AL13,1,0.6656380000000001
AL13,0,0.45649500000000004
AL13,0,0.345118
AL13,0,0.501904
AL13,0,1.033204
AL13,1,0.634753
AL13,1,0.8031900000000001
AL13,1,1.127461
AL13,1,1.563981
AL13,1,1.3600530000000002
AL13,1,1.079087
AL13,1,1.225279
AL13,0,1.4437010000000001
AL13,1,0.957184
AL13,0,0.920793
AL13,0,0.479098
AL13,1,0.6210370000000001
AL13,1,1.38314
AL13,0,2.1217379999999997
AL13,1,0.6478510000000001
AL13,1,1.576402
AL13,1,1.7268240000000001
AL13,1,1.083912
AL13,1,1.19826
AL13,1,1.82461
AL13,1,1.6540050000000002
AL13,1,1.237457
AL13,1,1.6386390000000002
AL13,0,2.397641
AL13,1,0.9127390000000001
AL13,0,1.166125
AL13,0,0.560823
AL13,0,0.698619
AL13,1,1.099801
AL13,0,1.857982
AL13,1,1.178788
AL13,1,1.575154
AL13,1,1.506511
AL13,1,1.8797540000000001
AL13,0,1.9369800000000001
AL13,1,1.765845
AL13,1,0.9786990000000001
AL13,1,1.084467
AL13,0,1.6872950000000002
AL13,1,1.2704270000000002
AL13,1,1.653346
AL13,1,0.6213000000000001
AL13,1,0.471081
AL13,1,0.526098
AL13,1,0.6511140000000001
AL13,1,0.882121
AL13,0,1.181338
AL13,1,0.957431
AL13,1,1.0770620000000002
AL13,0,1.3883340000000002
AL13,1,1.015451
AL13,1,1.1254670000000002
AL13,0,0.8542670000000001
AL13,1,0.409945
AL13,1,0.61021
AL13,0,0.9515220000000001
AL13,0,1.2354690000000002
AL13,1,0.500681
AL13,1,0.87377
AL13,1,1.254585
AL13,0,1.856065
AL13,1,0.767846
AL13,1,0.967207
AL13,1,0.878653
AL13,1,1.781347
AL13,1,0.944088
AL13,1,1.1535730000000002
AL13,1,1.219024
AL13,1,1.830963
AL13,1,1.470723
AL13,1,1.50204
AL13,0,1.516539
AL13,0,1.011908
AL13,1,0.575962
AL13,1,0.6905600000000001
AL13,1,0.653972
AL13,1,1.3040530000000001
AL13,1,1.324489
AL13,1,1.7408350000000001
AL13,1,0.7336330000000001
AL13,1,1.482127
AL13,1,2.320659
AL13,1,1.374179
AL13,1,1.54152
AL13,1,1.7380840000000002
AL13,1,1.14434
AL13,0,1.911839
AL13,1,1.10321
AL13,1,2.475801
AL13,1,1.4651980000000002
AL13,1,1.6480750000000002
AL13,0,1.89178
AL13,1,1.3749950000000002
AL13,1,1.1699670000000002
AL13,1,1.1447660000000002
AL13,1,1.773339
AL13,1,1.384042
AL13,1,1.4531340000000001
AL13,1,0.718086
AL13,1,1.1514110000000002
AL13,1,0.849588
AL13,0,1.1531179999999999
AL13,1,0.673702
AL13,0,1.494733
AL13,1,0.8062680000000001
AL13,1,2.1987550000000002
AL13,0,1.60927
AL13,1,0.84363
AL13,1,1.459065
AL13,1,0.98315
AL13,1,1.858359
AL13,1,1.3639000000000001
AL13,1,1.015605
AL13,1,1.097047
AL13,0,2.312795
AL13,1,0.7042849999999999
AL13,1,1.838531
AL13,1,0.663121
AL13,1,0.5264880000000001
AL13,0,0.908582
AL13,0,1.2671960000000002
AL13,0,0.6326350000000001
AL13,1,0.42953500000000006
AL13,1,0.78254
AL13,1,1.0521880000000001
AL13,1,0.9237810000000001
AL13,1,0.6961860000000001
AL13,1,0.638507
AL13,1,0.8478880000000001
AL13,1,0.38411
AL13,0,0.378346
AL13,1,0.9975560000000001
AL13,1,0.6558590000000001
AL13,1,0.8746750000000001
AL13,1,0.8852490000000001
AL13,1,0.8761660000000001
AL13,1,1.031006
AL13,1,1.1646690000000002
AL13,1,1.028451
AL13,1,1.277031
AL13,0,1.5519960000000002
AL13,1,0.57311
AL13,0,0.37610899999999997
AL13,0,0.5717810000000001
AL13,1,1.01887
AL13,1,1.508541
AL13,0,1.381734
AL13,0,1.736247
AL13,1,0.845471
AL13,1,1.133413
AL13,1,2.144225
AL13,1,0.9997420000000001
AL13,1,1.9894100000000001
AL13,1,1.743999
AL13,1,0.868639
AL13,1,0.9648690000000001
AL13,0,1.4189390000000002
AL13,1,1.7151870000000002
AL13,1,0.7692450000000001
AL13,1,1.1078109999999999
AL13,1,1.1539860000000002
AL13,1,0.668961
AL13,1,0.966856
AL13,1,0.5664969999999999
AL13,1,0.8776320000000001
AL13,1,0.996499
AL13,1,0.550759
AL13,1,0.9889310000000001
AL13,0,0.743298
AL13,1,1.2887680000000001
AL13,1,1.5899349999999999
AL13,1,0.9598240000000001
AL13,1,1.6510989999999999
AL13,1,0.746384
AL13,1,0.8560180000000001
AL13,1,1.057904
AL13,1,1.181947
AL13,1,1.6684620000000001
AL13,1,1.689546
AL13,0,1.3722960000000002
AL13,1,0.608548
AL13,1,1.735621
AL13,1,1.2766590000000002
AL13,1,1.143511
AL13,1,1.115886
AL13,1,1.4299439999999999
AL13,1,1.273671
AL13,1,1.0640520000000002
AL13,1,1.177971
AL13,1,3.274179
AL13,1,0.785237
AL13,1,1.163444
AL13,1,0.73899
AL13,1,1.545635
AL13,1,1.80912
AL13,1,0.8423870000000001
AL13,0,1.4402220000000001
AL13,1,1.0608689999999998
AL13,1,1.365644
AL13,1,1.363818
AL13,0,2.223848
AL13,1,0.889595
AL13,1,1.112167
AL13,1,0.980346
AL13,1,1.738481
AL13,1,1.935605
AL13,0,0.356513
AL13,1,1.479835
AL13,1,1.167576
AL13,1,1.350482
AL13,1,0.690303
AL13,1,1.478075
AL13,0,1.475846
AL13,0,0.7082430000000001
AL13,0,0.396027
AL13,1,1.047752
AL13,1,1.37609
AL13,1,1.2909750000000002
AL13,1,0.881213
AL13,0,2.2153620000000003
AL13,1,2.242637
AL13,1,1.799473
AL13,1,1.3541210000000001
AL13,1,1.382503
AL13,0,0.396293
AL13,0,1.3537750000000002
AL13,1,1.195482
AL13,1,1.486018
AL13,1,1.725257
AL13,0,2.071499
AL13,1,1.5763099999999999
AL13,1,1.239387
AL13,1,1.348303
AL13,1,0.9269200000000001
AL13,1,1.613348
AL13,0,1.106936
AL13,1,0.5291
AL13,1,1.4023790000000003
AL13,1,1.575777
AL13,1,1.4753530000000001
AL13,1,1.5380810000000003
AL13,0,1.4223080000000001
AL13,1,1.344024
AL13,1,0.904595
AL13,1,1.30536
AL13,1,1.006547
AL13,1,0.7758189999999999
AL13,1,1.1781949999999999
AL13,0,1.594038
AL13,1,0.612182
AL13,1,0.721253
AL13,1,1.258601
AL13,1,1.19391
AL13,1,0.716529
AL13,1,1.428204
AL13,1,0.7345090000000001
AL13,1,1.3807690000000001
AL13,1,1.070421
AL13,1,2.5815370000000004
AL13,1,0.776916
AL13,1,2.3230410000000004
AL13,1,1.8324310000000001
AL13,1,1.082906
AL13,1,1.101528
AL13,1,1.0209920000000001
AL13,1,1.213376
AL13,1,1.175456
AL13,1,1.321225
AL13,1,1.201588
AL13,1,0.918722
AL13,0,1.851472
AL13,1,1.129706
AL13,1,0.971189
AL13,0,0.630028
AL13,1,0.9357390000000001
AL13,1,0.5566490000000001
AL13,1,1.718393
AL13,0,1.0918489999999998
AL13,1,0.7868080000000001
AL13,1,0.940804
AL13,1,0.936227
AL13,1,1.4759950000000002
AL13,1,1.0366250000000001
AL13,1,0.9126810000000001
AL13,1,1.1269310000000001
AL13,1,0.824782
AL13,1,2.1086
AL13,1,1.2003679999999999
AL13,1,1.273819
AL13,1,1.000802
AL13,1,0.43525100000000005
AL13,1,1.131623
AL13,1,1.3089180000000002
AL13,1,1.100374
AL13,1,0.642266
AL13,1,0.9735320000000001
AL13,1,0.775631
AL13,0,1.390392
AL13,1,1.654886
AL13,1,1.3740940000000001
AL13,0,1.3464420000000001
AL13,1,0.472229
AL13,1,0.9768290000000001
AL13,1,1.4429100000000001
AL13,1,0.41903700000000005
AL13,1,0.967852
AL13,1,2.402575
AL13,1,0.860989
AL13,0,2.4550050000000003
AL13,1,0.85639
AL13,1,1.8769259999999999
AL13,1,2.1718699999999997
AL13,1,0.847433
AL13,1,2.665513
AL13,1,2.390361
AL13,1,2.576168
AL13,1,0.7240460000000001
AL13,1,1.039915
AL13,1,0.735799
AL13,1,0.9337540000000001
AL13,1,0.865002
AL13,1,0.8568490000000001
AL13,0,1.06877
AL13,0,0.676096
AL14,1,2.632397
AL14,1,2.32609
AL14,1,2.34336
AL14,1,1.853074
AL14,1,1.814771
AL14,1,1.072859
AL14,1,1.455117
AL14,1,1.2589110000000001
AL14,1,1.614388
AL14,1,2.114683
AL14,1,2.088147
AL14,0,1.1180560000000002
AL14,1,1.539538
AL14,1,1.053803
AL14,1,1.13091
AL14,1,2.00993
AL14,1,1.5841210000000001
AL14,1,1.89213
AL14,1,1.206732
AL14,1,0.6721480000000001
AL14,1,0.805395
AL14,1,1.124524
AL14,1,2.1171010000000003
AL14,1,2.136721
AL14,0,0.411395
AL14,1,1.595277
AL14,0,0.892638
AL14,0,2.0609120000000005
AL14,1,1.173273
AL14,1,2.032017
AL14,0,0.918136
AL14,1,1.9875140000000002
AL14,1,1.485897
AL14,1,1.5439650000000003
AL14,1,1.0346400000000002
AL14,1,1.491486
AL14,1,0.49126600000000004
AL14,0,1.072403
AL14,1,0.750241
AL14,1,0.946939
AL14,1,1.3826530000000001
AL14,1,1.3520930000000002
AL14,0,2.987219
AL14,1,3.480167
AL14,1,1.144783
AL14,1,1.732713
AL14,1,1.7300740000000001
AL14,1,1.294248
AL14,1,1.259881
AL14,1,2.7152629999999998
AL14,1,1.4777470000000001
AL14,1,1.1937060000000002
AL14,1,1.7568500000000002
AL14,1,0.7546130000000001
AL14,1,1.4628500000000002
AL14,1,0.346661
AL14,1,1.3178640000000001
AL14,0,1.4274310000000001
AL14,1,1.616205
AL14,1,1.3695650000000001
AL14,1,3.140553
AL14,0,3.347166
AL14,1,1.7046100000000002
AL14,1,1.503511
AL14,1,0.6324080000000001
AL14,1,1.8718489999999999
AL14,1,1.157964
AL14,1,2.1169290000000003
AL14,1,1.2406780000000002
