subj_idx,response,rt,phase
AL13,1,1.481531,-1
AL13,1,1.409108,-1
AL13,1,0.6669320000000001,-1
AL13,1,2.5894920000000003,-1
AL13,1,1.167518,-1
AL13,1,1.8110620000000002,-1
AL13,1,1.715471,-1
AL13,0,1.6465640000000001,-1
AL13,1,1.025487,-1
AL13,1,0.761672,-1
AL13,1,1.500721,-1
AL13,1,3.178643,-1
AL13,1,2.390803,-1
AL13,1,1.258211,-1
AL13,1,1.3854570000000002,-1
AL13,1,1.475951,-1
AL13,0,1.578791,-1
AL13,1,1.0942239999999999,-1
AL13,1,0.780348,-1
AL13,1,2.246534,-1
AL13,1,1.519721,-1
AL13,1,2.016643,-1
AL13,1,1.602286,-1
AL13,1,1.771641,-1
AL13,1,1.4792830000000001,-1
AL13,1,1.563641,-1
AL13,1,2.446848,-1
AL13,1,2.157294,-1
AL13,1,1.827645,-1
AL13,1,0.668568,-1
AL13,0,1.3797160000000002,-1
AL13,1,0.42248800000000003,-1
AL13,1,0.830308,-1
AL13,1,1.870961,-1
AL13,1,1.038695,-1
AL13,1,1.475695,-1
AL13,1,1.0341490000000002,-1
AL13,0,0.610567,-1
AL13,1,1.7248530000000002,-1
AL13,1,0.770162,-1
AL13,1,0.9176730000000001,-1
AL13,1,1.629597,-1
AL13,1,2.054412,-1
AL13,1,0.9933770000000001,-1
AL13,1,1.348376,-1
AL13,1,1.168099,-1
AL13,1,1.417264,-1
AL13,1,1.410824,-1
AL13,1,1.354787,-1
AL13,0,0.7386050000000001,-1
AL13,1,1.33657,-1
AL13,1,0.845677,-1
AL13,0,1.2012450000000001,-1
AL13,0,1.068157,-1
AL13,1,1.659559,-1
AL13,1,0.7631380000000001,-1
AL13,1,1.482701,-1
AL13,1,0.761689,-1
AL13,1,1.37277,-1
AL13,1,1.1267770000000001,-1
AL13,1,1.870865,-1
AL13,1,1.262218,-1
AL13,1,1.429707,-1
AL13,1,1.571513,-1
AL13,1,0.951491,-1
AL13,1,0.674997,-1
AL13,1,1.3874410000000001,-1
AL13,0,1.078239,-1
AL13,1,0.947215,-1
AL13,1,1.1387280000000002,-1
AL13,1,1.483392,-1
AL13,0,1.450532,-1
AL13,1,1.079279,-1
AL13,1,1.2056959999999999,-1
AL13,1,0.879614,-1
AL13,0,0.7495790000000001,-1
AL13,1,0.5854590000000001,-1
AL13,1,1.072276,-1
AL13,1,0.815682,-1
AL13,1,1.481278,-1
AL13,1,0.615621,-1
AL13,1,1.311656,-1
AL13,1,1.22958,-1
AL13,0,1.616732,-1
AL13,1,1.25084,-1
AL13,1,0.9702970000000001,-1
AL13,1,0.8296359999999999,-1
AL13,0,0.38066200000000006,-1
AL13,1,0.525626,-1
AL13,1,0.8872920000000001,-1
AL13,1,0.454066,-1
AL13,0,1.214162,-1
AL13,1,0.6103270000000001,-1
AL13,1,1.089391,-1
AL13,0,0.8471940000000001,-1
AL13,1,1.102115,-1
AL13,1,0.684129,-1
AL13,1,1.8712460000000002,-1
AL13,1,1.399242,-1
AL13,0,0.42508500000000005,-1
AL13,1,1.610554,-1
AL13,0,1.699541,-1
AL13,0,0.762653,-1
AL13,1,0.7506430000000001,-1
AL13,0,0.842831,-1
AL13,1,1.308619,-1
AL13,1,1.7706220000000001,-1
AL13,1,1.365125,-1
AL13,1,1.491317,-1
AL13,1,1.537914,-1
AL13,0,1.599185,-1
AL13,1,0.865779,-1
AL13,1,0.9058830000000001,-1
AL13,1,1.4635420000000001,-1
AL13,1,0.8259310000000001,-1
AL13,1,1.071222,-1
AL13,1,1.618609,-1
AL13,1,1.683343,-1
AL13,1,1.150503,-1
AL13,1,1.7629270000000001,-1
AL13,0,2.206772,-1
AL13,1,1.010112,-1
AL13,1,1.5714890000000001,-1
AL13,1,1.616384,-1
AL13,1,1.1616250000000001,-1
AL13,1,0.8938210000000001,-1
AL13,1,2.044267,-1
AL13,1,1.459405,-1
AL13,1,0.602504,-1
AL13,1,0.7482810000000001,-1
AL13,1,1.2722360000000001,-1
AL13,1,1.1644470000000002,-1
AL13,1,1.9048930000000002,-1
AL13,1,1.942849,-1
AL13,1,1.323757,-1
AL13,1,1.167564,-1
AL13,1,1.2529700000000001,-1
AL13,1,1.567242,-1
AL13,1,2.011315,-1
AL13,1,1.433147,-1
AL13,1,2.529697,-1
AL13,1,1.3825180000000001,-1
AL13,1,1.45733,-1
AL13,1,1.4926130000000002,-1
AL13,1,1.354752,-1
AL13,1,0.869762,-1
AL13,1,0.8694,-1
AL13,1,1.4955550000000002,-1
AL13,1,0.877327,-1
AL13,1,0.867929,-1
AL13,0,1.4677730000000002,-1
AL13,1,0.692235,-1
AL13,1,1.462712,-1
AL13,1,1.0960180000000002,-1
AL13,0,0.918288,-1
AL13,1,1.092983,-1
AL13,0,1.496196,-1
AL13,1,1.094811,-1
AL13,1,1.5164549999999999,-1
AL13,1,0.426615,-1
AL13,1,1.058964,-1
AL13,1,0.8167230000000001,-1
AL13,1,0.8494450000000001,-1
AL13,1,0.839048,-1
AL13,1,2.915017,-1
AL13,1,0.648494,-1
AL13,1,0.744476,-1
AL13,0,0.9824830000000001,-1
AL13,1,0.978109,-1
AL13,1,0.792953,-1
AL13,1,0.998942,-1
AL13,1,0.6656380000000001,-1
AL13,0,0.45649500000000004,-1
AL13,0,0.345118,-1
AL13,0,0.501904,-1
AL13,0,1.033204,-1
AL13,1,0.634753,-1
AL13,1,0.8031900000000001,-1
AL13,1,1.127461,-1
AL13,1,1.563981,-1
AL13,1,1.3600530000000002,-1
AL13,1,1.079087,-1
AL13,1,1.225279,-1
AL13,0,1.4437010000000001,-1
AL13,1,0.957184,-1
AL13,0,0.920793,-1
AL13,0,0.479098,-1
AL13,1,0.6210370000000001,-1
AL13,1,1.38314,-1
AL13,0,2.1217379999999997,-1
AL13,1,0.6478510000000001,-1
AL13,1,1.576402,-1
AL13,1,1.7268240000000001,-1
AL13,1,1.083912,-1
AL13,1,1.19826,-1
AL13,1,1.82461,-1
AL13,1,1.6540050000000002,-1
AL13,1,1.237457,-1
AL13,1,1.6386390000000002,-1
AL13,0,2.397641,-1
AL13,1,0.9127390000000001,-1
AL13,0,1.166125,-1
AL13,0,0.560823,-1
AL13,0,0.698619,-1
AL13,1,1.099801,-1
AL13,0,1.857982,-1
AL13,1,1.178788,-1
AL13,1,1.575154,-1
AL13,1,1.506511,-1
AL13,1,1.8797540000000001,-1
AL13,0,1.9369800000000001,-1
AL13,1,1.765845,-1
AL13,1,0.9786990000000001,-1
AL13,1,1.084467,-1
AL13,0,1.6872950000000002,-1
AL13,1,1.2704270000000002,-1
AL13,1,1.653346,-1
AL13,1,0.6213000000000001,-1
AL13,1,0.471081,-1
AL13,1,0.526098,-1
AL13,1,0.6511140000000001,-1
AL13,1,0.882121,-1
AL13,0,1.181338,-1
AL13,1,0.957431,-1
AL13,1,1.0770620000000002,-1
AL13,0,1.3883340000000002,-1
AL13,1,1.015451,-1
AL13,1,1.1254670000000002,-1
AL13,0,0.8542670000000001,-1
AL13,1,0.409945,-1
AL13,1,0.61021,-1
AL13,0,0.9515220000000001,-1
AL13,0,1.2354690000000002,-1
AL13,1,0.500681,-1
AL13,1,0.87377,-1
AL13,1,1.254585,-1
AL13,0,1.856065,-1
AL13,1,0.767846,-1
AL13,1,0.967207,-1
AL13,1,0.878653,-1
AL13,1,1.781347,-1
AL13,1,0.944088,-1
AL13,1,1.1535730000000002,-1
AL13,1,1.219024,-1
AL13,1,1.830963,-1
AL13,1,1.470723,-1
AL13,1,1.50204,-1
AL13,0,1.516539,-1
AL13,0,1.011908,-1
AL13,1,0.575962,-1
AL13,1,0.6905600000000001,-1
AL13,1,0.653972,-1
AL13,1,1.3040530000000001,-1
AL13,1,1.324489,-1
AL13,1,1.7408350000000001,-1
AL13,1,0.7336330000000001,-1
AL13,1,1.482127,-1
AL13,1,2.320659,-1
AL13,1,1.374179,-1
AL13,1,1.54152,-1
