subj_idx,response,rt
AL13,1,1.6516810000000002
AL13,1,2.7591040000000002
AL13,1,2.198579
AL13,1,1.700378
AL13,1,2.1322010000000002
AL13,0,1.577464
AL13,1,0.97399
AL13,1,1.740537
AL13,1,1.600644
AL13,1,1.74811
AL13,1,2.028314
AL13,1,2.024702
AL13,1,2.1795950000000004
AL13,1,2.4781530000000003
AL13,1,2.007438
AL13,1,2.1897379999999997
AL13,1,1.635781
AL13,1,1.7169990000000002
AL13,1,2.21151
AL13,1,2.320518
AL13,1,1.7332440000000002
AL13,1,1.6705130000000001
AL13,1,1.9891400000000001
AL13,1,2.3764440000000002
AL13,1,1.740481
AL13,1,1.279381
AL13,1,2.094127
AL13,1,1.9718579999999999
AL13,1,2.3300810000000003
AL13,1,2.149801
AL13,1,2.524782
AL13,1,2.967235
AL13,1,1.408701
AL13,1,2.141493
AL13,1,2.225409
AL13,1,1.59401
AL13,1,1.4373
AL13,0,2.42105
AL13,1,1.0389860000000002
AL13,1,1.425348
AL13,1,2.290109
AL13,1,1.7353
AL13,0,2.2651440000000003
AL13,1,1.329695
AL13,1,1.0871510000000002
AL13,1,1.417399
AL13,1,2.3010129999999998
AL13,1,1.260403
AL13,1,0.989336
AL13,1,1.255047
AL13,1,1.06155
AL13,1,1.82098
AL13,1,1.451376
AL13,1,1.0428240000000002
AL13,0,1.595391
AL13,1,2.070788
AL13,1,1.381426
AL13,1,2.138277
AL13,1,2.3446320000000003
AL13,1,1.6654570000000002
AL13,1,1.889155
AL13,1,1.803666
AL13,1,1.000852
AL13,0,1.288538
AL13,1,1.731869
AL13,1,1.439906
AL13,1,1.267762
AL13,1,1.4931480000000001
AL13,0,0.9460040000000001
AL13,1,1.309993
AL13,1,1.6285930000000002
AL13,1,1.460521
AL13,1,0.829593
AL13,1,1.9239030000000001
AL13,1,1.020736
AL13,1,1.379285
AL13,0,1.346
AL13,1,0.614314
AL13,1,1.174894
AL13,1,1.1006120000000001
AL13,1,1.194661
AL13,1,1.940979
AL13,1,1.6093400000000002
AL13,1,1.902442
AL13,1,1.3133489999999999
AL13,1,1.446435
AL13,1,1.323113
AL13,1,1.458777
AL13,1,1.188854
AL13,1,1.718089
AL13,1,1.590297
AL13,1,0.8415020000000001
AL13,1,2.201493
AL13,1,2.373335
AL13,0,1.7691510000000001
AL13,1,1.60544
AL13,0,2.7534340000000004
AL13,1,2.332516
AL13,1,2.371029
AL13,0,2.337926
AL13,1,1.223289
AL13,0,2.047701
AL13,1,1.214386
AL13,1,1.9723110000000001
AL13,1,2.132872
AL13,1,2.365654
AL13,1,1.260448
AL13,1,1.562631
AL13,0,2.246232
AL13,1,1.631859
AL13,1,1.978473
AL13,1,2.190427
AL13,1,2.2726640000000002
AL13,1,1.807927
AL13,1,2.229445
AL13,1,2.1767220000000003
AL13,1,2.349215
AL13,1,1.560162
AL13,1,2.02575
AL13,0,1.333906
AL13,1,2.731402
AL13,1,1.804958
AL13,1,2.084633
AL13,1,1.8232350000000002
AL13,1,2.0637849999999998
AL13,1,0.611124
AL13,1,2.103785
AL13,1,1.838159
AL13,1,1.938123
AL13,1,2.12493
AL13,1,1.5693810000000001
AL13,1,1.5844470000000002
AL13,1,2.050615
AL13,1,1.638373
AL13,1,1.5103060000000001
AL13,1,2.079373
AL13,1,1.824264
AL13,1,1.668948
AL13,1,2.175777
AL13,1,1.9388830000000001
AL13,1,1.329742
AL13,1,1.7432470000000002
AL13,1,1.363545
AL13,1,1.081904
AL13,1,2.01954
AL13,1,1.4309880000000001
AL13,1,1.4678740000000001
AL13,1,1.062733
AL13,1,1.462529
AL13,1,1.594388
AL13,1,0.9673670000000001
AL13,1,1.8851120000000001
AL13,1,1.315383
AL13,1,1.02235
AL13,1,1.575998
AL13,1,1.338778
AL13,1,1.3807930000000002
AL13,1,0.830251
AL13,1,1.846316
AL13,1,1.476485
AL13,1,1.57249
AL13,1,1.532915
AL13,1,1.105464
AL13,1,1.874022
AL13,1,1.705719
AL13,1,1.633903
AL13,0,1.841627
AL13,1,1.186855
AL13,0,0.8019040000000001
AL13,1,0.6514260000000001
AL13,0,1.883252
AL13,1,2.452634
AL13,1,1.436431
AL13,1,1.1727550000000002
AL13,1,2.2258150000000003
AL13,1,2.1458160000000004
AL13,1,2.01966
AL13,1,2.384147
AL13,1,1.722386
AL13,1,2.6174
AL13,1,1.71686
AL13,1,2.1489320000000003
AL13,0,2.051155
AL13,1,1.0922470000000002
AL13,1,2.232401
AL13,1,2.080046
AL13,1,2.94339
AL13,1,1.7176790000000002
AL13,1,1.490749
AL13,1,1.6720910000000002
AL13,1,2.1221330000000003
AL13,1,2.203367
AL13,1,2.0612220000000003
AL13,1,2.2502890000000004
AL13,1,1.34695
AL13,1,1.73505
AL13,1,1.389999
AL13,1,1.642144
AL13,1,1.434209
AL13,1,1.942978
AL13,1,1.931163
AL13,1,1.6561240000000002
AL13,1,0.9998920000000001
AL13,1,1.013559
AL13,1,1.46677
AL13,1,1.8863150000000002
AL13,1,1.702968
AL13,1,2.095203
AL13,0,1.0538589999999999
AL13,1,1.613781
AL13,1,1.35927
AL13,1,1.195268
AL13,1,1.639848
AL13,1,1.847032
AL13,1,1.5524170000000002
AL13,1,1.3842480000000001
AL13,1,2.6724340000000004
AL13,1,1.5410760000000001
AL13,1,1.6389340000000001
AL13,1,1.682885
AL13,1,1.468871
AL13,1,2.034423
AL13,1,1.365564
AL13,1,2.515308
AL13,1,1.316424
AL13,1,1.971328
AL13,1,1.405724
AL13,0,1.15379
AL13,1,0.846349
AL13,1,1.801419
AL13,1,1.434587
AL13,1,1.581422
AL13,1,2.9689740000000002
AL13,1,2.505265
AL13,1,1.3057429999999999
AL13,0,1.091434
AL13,1,1.52726
AL13,1,2.0592240000000004
AL13,1,0.651316
AL13,0,1.1109069999999999
AL13,1,1.373396
AL13,0,3.310766
AL13,1,1.346006
AL13,1,2.397643
AL13,1,1.721287
AL13,1,2.133255
AL13,1,1.62586
AL13,1,2.2368
AL13,1,1.8928230000000001
AL13,1,1.218172
AL13,1,2.043549
AL13,0,1.249689
AL13,1,2.606866
AL13,0,1.6058420000000002
AL13,1,1.55997
AL13,1,1.3695430000000002
AL13,1,1.732038
AL13,1,1.6932960000000001
AL13,1,2.187202
AL13,1,1.26926
AL13,1,1.9199549999999999
AL13,1,2.739825
AL13,1,1.538596
AL13,1,1.7346780000000002
AL13,1,1.525166
AL13,1,2.1628000000000003
AL13,1,1.6289200000000001
AL13,0,2.000779
AL13,1,1.927853
AL13,1,1.957443
AL13,0,1.8324280000000002
AL13,1,1.8741870000000003
AL13,1,1.9410420000000002
AL13,1,1.5354700000000001
AL13,1,1.8585550000000002
AL13,1,1.7038920000000002
AL13,1,1.809112
AL13,1,1.0907310000000001
AL13,1,1.521174
AL13,1,2.017157
AL13,0,1.25137
AL13,1,1.507655
AL13,1,1.744029
AL13,1,3.130395
AL13,1,2.192725
AL13,1,1.5040040000000001
AL13,1,1.618462
AL13,1,3.0601350000000003
AL13,0,2.111913
AL13,1,1.462439
AL13,1,2.2871150000000005
AL13,1,1.7332250000000002
AL13,1,1.4838980000000002
AL13,1,2.363082
AL13,1,1.115388
AL13,1,2.111181
AL13,1,1.055805
AL13,1,2.042692
AL13,1,1.7200630000000001
AL13,0,1.6413130000000002
AL13,1,0.962597
AL13,1,1.411406
AL13,1,2.406688
AL13,1,1.63825
AL13,1,1.177648
AL13,1,1.380826
AL13,1,1.7115430000000003
AL13,1,1.479301
AL13,1,1.535765
AL13,1,1.3417740000000002
AL13,1,1.132759
AL13,1,2.182945
AL13,1,1.008556
AL13,0,2.124903
AL13,1,2.2506350000000004
AL13,1,2.137993
AL13,1,1.793679
AL13,1,1.1554860000000002
AL13,1,1.4069390000000002
AL13,1,1.63147
AL13,1,2.0935900000000003
AL13,1,0.775676
AL13,0,0.6819350000000001
AL13,1,2.433051
AL13,1,1.6766400000000001
AL13,1,2.035068
AL13,1,1.876603
AL13,0,1.011733
AL13,0,0.942207
AL13,1,1.786395
AL13,1,1.7759090000000002
AL13,1,1.647459
AL13,1,2.1324389999999998
AL13,1,1.9304620000000001
AL13,1,1.487029
AL13,1,2.2701160000000002
AL13,1,1.593641
AL13,1,1.6973710000000002
AL13,1,1.527711
AL13,1,3.0718690000000004
AL13,1,2.1041570000000003
AL13,1,2.106723
AL13,1,1.970863
AL13,1,1.538301
AL13,1,1.9424810000000001
AL13,0,0.908541
AL13,1,1.265673
AL13,1,2.526437
AL13,1,1.8073720000000002
AL13,1,2.156153
AL13,1,1.4304480000000002
AL13,1,2.115065
AL13,1,1.797223
AL13,1,1.308465
AL13,1,2.514493
AL13,1,1.793788
AL13,1,1.669484
AL13,1,1.673996
AL13,1,1.124348
AL13,1,1.771395
AL13,0,1.246599
AL13,1,0.599527
AL13,1,1.9772820000000002
AL13,1,1.4637280000000001
AL13,1,1.102253
AL13,1,1.9781780000000002
AL13,0,1.2536200000000002
AL13,1,1.7417090000000002
AL13,1,1.885444
AL13,1,2.4882510000000004
AL13,1,2.2141910000000005
AL13,1,1.5662580000000002
AL13,1,1.672592
AL13,1,1.5534020000000002
AL13,1,1.939658
AL13,1,2.818003
AL13,1,2.559545
AL13,0,2.2346350000000004
AL13,1,1.9315820000000001
AL13,1,1.460684
AL13,1,3.2403290000000005
AL13,1,0.696688
AL13,1,2.366077
AL13,1,1.068856
AL13,1,0.898255
AL13,1,2.107834
AL13,1,1.140711
AL13,1,2.3309900000000003
AL13,1,1.764838
AL13,1,0.8881230000000001
AL13,1,1.452019
AL13,1,2.191984
AL13,1,1.506871
AL13,1,0.9715560000000001
AL13,1,1.301185
AL13,1,1.5949870000000002
AL13,1,1.509006
AL13,1,2.007676
AL13,1,1.3129549999999999
AL13,1,2.8133470000000003
AL13,1,1.483118
AL13,1,2.542936
AL13,1,1.006397
AL13,1,2.439056
AL13,1,1.5749929999999999
AL13,1,2.715485
AL13,0,1.8380150000000002
AL13,1,1.639181
AL13,1,1.591255
AL13,1,3.1302670000000004
AL13,1,2.0998270000000003
AL13,1,2.314701
AL13,1,2.367558
AL13,1,1.3778890000000001
AL13,1,2.2004420000000002
AL13,1,2.1487040000000004
AL13,1,2.2795680000000003
AL13,1,2.286609
AL13,1,1.1651880000000001
AL13,1,1.394453
AL13,1,1.596155
AL13,1,1.538484
AL13,1,1.369241
AL13,1,1.379528
AL13,1,1.116867
AL13,1,2.528941
AL13,1,1.722404
AL13,1,2.0130440000000003
AL13,1,1.6517600000000001
AL13,1,2.371294
AL13,1,2.273635
AL13,1,2.2333719999999997
AL13,1,2.600525
AL13,1,2.586705
AL13,1,1.928697
AL13,1,1.5178980000000002
AL13,1,2.199949
AL13,1,3.225147
AL13,1,1.4339370000000002
AL13,0,1.8712730000000002
AL13,1,1.327063
AL13,1,2.2671740000000002
AL13,1,1.5065050000000002
AL13,1,2.589401
AL13,1,2.126119
AL13,1,1.096441
AL13,1,1.677704
AL13,1,1.319356
AL13,1,1.3397450000000002
AL13,1,1.465606
AL13,1,1.3399860000000001
AL13,1,2.098691
AL13,1,2.0329010000000003
AL13,1,1.4595799999999999
AL13,1,1.459126
AL13,1,1.586473
AL13,1,1.2206480000000002
AL13,1,1.658907
AL13,1,2.329732
AL13,1,1.8743210000000001
AL13,1,1.4406590000000001
AL13,0,1.173848
AL13,1,0.816785
AL13,1,1.8923900000000002
AL13,1,1.013762
AL13,1,1.0600999999999998
AL13,1,1.626651
AL13,1,0.989905
AL13,1,1.0712249999999999
AL13,1,1.500875
AL13,1,2.789793
AL13,1,2.185343
AL13,1,1.792245
AL13,0,1.084762
AL13,1,0.915245
AL13,1,2.020473
AL13,1,1.27708
AL13,1,1.60595
AL13,0,1.5565810000000002
AL13,1,0.808826
AL13,1,1.166959
AL13,1,1.9868
AL13,1,1.902155
AL13,1,1.341897
AL13,1,2.046384
AL13,1,2.352406
AL13,1,1.133693
AL13,1,1.225864
AL13,1,1.3539180000000002
AL13,1,1.64362
AL13,0,1.605747
AL13,1,1.152417
AL13,1,1.4413220000000002
AL13,1,2.579341
AL13,0,2.729006
AL13,1,1.9754280000000002
AL13,1,2.3717829999999998
AL13,1,2.0312170000000003
AL13,1,2.747576
AL13,1,2.505944
AL14,0,0.5577390000000001
AL14,1,0.807909
AL14,1,1.566246
AL14,1,1.4662870000000001
AL14,1,2.585533
AL14,1,1.306395
AL14,1,1.04505
AL14,0,1.050244
AL14,1,1.021384
AL14,1,1.1288070000000001
AL14,1,1.2335720000000001
AL14,0,1.382557
AL14,1,1.292084
AL14,1,1.3072070000000002
AL14,1,1.43941
AL14,1,1.484385
AL14,1,1.317769
AL14,1,1.3224690000000001
AL14,1,1.358757
AL14,1,0.979407
AL14,1,0.9359510000000001
AL14,1,1.4331580000000002
AL14,1,1.0490620000000002
AL14,1,1.64114
AL14,1,0.5590539999999999
AL14,1,0.9460470000000001
AL14,1,1.061923
AL14,1,1.4092310000000001
AL14,1,1.3258790000000003
AL14,1,1.123003
AL14,1,0.882495
AL14,1,0.8489730000000001
AL14,0,1.096518
AL14,1,1.139124
AL14,1,1.157458
AL14,1,1.37147
AL14,1,1.090891
AL14,0,1.244308
AL14,1,1.202248
AL14,1,1.1713890000000002
AL14,1,0.903342
AL14,1,1.4020450000000002
AL14,1,1.141421
AL14,0,1.2336690000000001
AL14,1,0.37379700000000005
AL14,1,0.8965879999999999
AL14,0,1.405675
AL14,1,1.207069
AL14,1,1.05904
AL14,1,1.305596
AL14,1,1.245524
AL14,1,1.606567
AL14,0,1.229973
AL14,1,1.340107
AL14,1,1.022617
AL14,0,1.207531
AL14,0,1.216379
AL14,1,1.170191
AL14,1,0.904174
AL14,1,0.915216
AL14,1,0.917612
AL14,1,0.519669
AL14,1,1.1368
AL14,1,1.138662
AL14,1,1.206445
AL14,1,0.9240430000000001
AL14,1,1.724521
AL14,1,1.0432070000000002
AL14,1,1.4013879999999999
AL14,1,1.5149480000000002
AL14,1,1.5035720000000001
AL14,1,2.938902
AL14,1,0.631554
AL14,1,2.215312
AL14,1,0.41212600000000005
AL14,1,1.1874149999999999
AL14,1,0.903526
AL14,1,0.951818
AL14,1,1.1937060000000002
AL14,1,1.267622
AL14,1,2.014068
AL14,1,1.439628
AL14,1,1.475699
AL14,1,1.090633
AL14,1,0.993111
AL14,0,0.9835990000000001
AL14,1,1.5028990000000002
AL14,1,1.190444
AL14,1,0.9077200000000001
AL14,1,1.465813
AL14,1,1.4256000000000002
AL14,1,1.34505
AL14,1,1.212906
AL14,1,1.7218510000000002
AL14,1,2.612442
AL14,1,1.22473
AL14,1,0.746245
AL14,1,1.317157
AL14,1,0.932607
AL14,1,1.3679770000000002
AL14,1,1.2459200000000001
AL14,1,1.723598
AL14,1,1.0564230000000001
AL14,0,1.352843
AL14,1,1.348437
AL14,1,2.055933
AL14,1,0.9474060000000001
AL14,1,1.112407
AL14,1,1.4385219999999999
AL14,1,1.063982
AL14,1,1.5185270000000002
AL14,1,1.219344
AL14,1,1.3986390000000002
AL14,1,1.3433140000000001
AL14,1,1.4351369999999999
AL14,0,2.859169
AL14,1,1.184722
AL14,1,1.190252
AL14,1,1.562099
AL14,1,1.062335
AL14,1,1.0432830000000002
AL14,0,1.017615
AL14,1,0.9667470000000001
AL14,0,1.0100600000000002
AL14,1,1.0923589999999999
AL14,1,1.322195
AL14,1,1.353709
AL14,1,1.45206
AL14,1,1.166562
AL14,1,1.1203150000000002
AL14,1,1.4981490000000002
AL14,1,1.054001
AL14,1,1.0374290000000002
AL14,1,1.006868
AL14,1,1.89562
AL14,1,0.36842900000000006
AL14,1,1.2957239999999999
AL14,1,1.29596
AL14,1,1.284183
AL14,1,2.262848
AL14,1,1.1382260000000002
AL14,1,0.9663830000000001
AL14,1,0.8633540000000001
AL14,1,1.9982680000000002
AL14,1,1.1351010000000001
AL14,0,1.0956510000000002
AL14,1,1.348838
AL14,1,1.4451200000000002
AL14,1,1.314932
AL14,1,1.651827
AL14,1,1.0302170000000002
AL14,1,1.2707450000000002
AL14,1,1.321353
AL14,1,1.11138
AL14,1,0.956737
AL14,0,1.14377
AL14,1,1.345215
AL14,1,1.458415
AL14,1,0.966178
AL14,1,1.3897350000000002
AL14,1,1.087617
AL14,1,1.077476
